trip_id,waktu,latitude,longitude,kecepatan_kmh,jarak_km
1,2025-03-03 05:29:00,-6.002178,106.036731,41.3,0.34438
1,2025-03-03 05:29:30,-5.999964,106.035137,36.4,0.30309
1,2025-03-03 05:30:00,-5.997265,106.033441,42.5,0.35393
1,2025-03-03 05:30:30,-5.994642,106.031408,44.3,0.36898
1,2025-03-03 05:31:00,-5.99348,106.02903,37.9,0.31619
1,2025-03-03 05:31:30,-5.995467,106.027244,37.0,0.30835
1,2025-03-03 05:32:00,-5.995937,106.024587,37.0,0.30839
1,2025-03-03 05:32:30,-5.997503,106.022612,46.1,0.384
1,2025-03-03 05:33:00,-6.001174,106.022552,49.0,0.40822
1,2025-03-03 05:33:30,-6.002694,106.024778,49.0,0.40845
1,2025-03-03 05:34:00,-6.00283,106.02581,39.9,0.33282
1,2025-03-03 05:34:30,-6.00289,106.024787,46.8,0.38976
